,Unnamed: 0,PUD Rte,PUD Cycle,Courier id,zip,Act Base,Prod Grp,Prod Code,AR dtm,Act Tm,Open,Closed,lat,lgtd,Act Ckpt Code,PuD Type
97,141,PJA3,B,nazulkif,40000,D,DOM,N,2020-01-16 01:51:00,10:57,,23:59,3.0404532000000004,101.5531605,OK,DL
98,142,PJA3,B,nazulkif,40400,D,DOM,N,2020-01-15 21:47:00,11:00,,23:59,3.0402332000000003,101.551858,OK,DL
99,143,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,11:01,,23:59,3.0406596,101.5511552,OK,DL
100,144,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:04:00,11:05,,23:59,3.0389638999999997,101.54858259999999,OK,DL
101,145,PJA3,B,nazulkif,40000,D,BBX,B,2020-01-16 00:44:00,11:19,,23:59,3.0331205000000003,101.5703572,OK,DL
103,147,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 09:03:00,11:35,,23:59,3.0320577,101.56611540000002,OK,DL
104,148,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,11:41,,23:59,3.0287490000000004,101.5667375,OK,DL
105,149,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 01:31:00,11:44,,23:59,3.0287486,101.56685379999999,OK,DL
106,150,PJA3,B,nazulkif,40732,D,DOM,N,2020-01-16 01:54:00,11:51,,23:59,3.0289697999999996,101.5652094,OK,DL
107,151,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 09:04:00,11:54,,23:59,3.030215,101.5648685,OK,DL
108,152,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 09:04:00,12:05,,23:59,3.0159437999999996,101.5526078,OK,DL
109,153,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:04:00,12:08,,23:59,3.0150502999999995,101.553669,OK,DL
110,154,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,12:12,,23:59,3.0146692,101.5574895,OK,DL
111,155,PJA3,B,nazulkif,40400,D,DOM,N,2020-01-16 00:02:00,12:22,,23:59,3.0140114,101.5572995,OK,DL
112,156,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 09:04:00,12:34,,23:59,3.0161693,101.5573947,OK,DL
113,157,PJA3,B,nazulkif,40400,D,DOM,N,2020-01-15 21:49:00,12:40,,23:59,3.0211265,101.5566378,OK,DL
114,158,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,12:44,,23:59,3.021056,101.5542833,OK,DL
115,159,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 09:04:00,12:48,,23:59,3.0211262000000003,101.55593859999999,OK,DL
116,160,PJA3,B,nazulkif,40000,D,DOM,N,2020-01-15 21:48:00,12:56,,23:59,3.0302167,101.55767270000001,OK,DL
117,161,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:04:00,12:58,,23:59,3.0282374,101.5573368,OK,DL
118,162,PJA3,B,nazulkif,40000,D,DOX,D,2020-01-16 09:03:00,13:00,,23:59,3.0272096,101.55676159999999,OK,DL
119,163,PJA3,B,nazulkif,40000,D,WPX,P,2020-01-16 09:04:00,13:07,,23:59,3.0263263,101.5586692,OK,DL
120,164,PJA3,B,nazulkif,40000,D,WPX,P,2020-01-16 09:04:00,13:09,,23:59,3.026472,101.5604967,OK,DL
121,165,PJA3,B,nazulkif,40000,D,WPX,P,2020-01-16 09:04:00,13:17,,23:59,3.0245927000000004,101.5597597,OK,DL
122,166,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,13:23,,23:59,3.0286442000000005,101.5546257,OK,DL
123,168,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 00:49:00,13:26,,23:59,3.0313046000000003,101.5554594,OK,DL
124,169,PJA3,B,nazulkif,40040,D,DOX,D,2020-01-16 09:03:00,13:30,,23:59,3.0323752,101.55605729999999,OK,DL
125,172,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,13:44,,23:59,3.0351747000000002,101.5573109,OK,DL
127,175,PJA3,B,nazulkif,40000,D,WPX,P,2020-01-16 09:04:00,14:58,,23:59,3.0344122000000002,101.5555304,OK,DL
128,177,PJA3,B,nazulkif,40000,D,DOM,N,2020-01-15 21:49:00,15:10,,23:59,3.033617,101.5568074,OK,DL
129,178,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,15:15,,23:59,3.0281351,101.5595381,OK,DL
130,180,PJA3,B,nazulkif,40400,D,DOM,N,2020-01-15 21:46:00,15:36,,23:59,3.0323884,101.5627429,OK,DL
131,183,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-16 09:04:00,16:03,,23:59,3.0140754000000003,101.55732409999999,OK,DL
133,189,PJA3,B,nazulkif,40400,D,WPX,P,2020-01-15 08:51:00,16:49,,23:59,3.0300728,101.5634858,OK,DL
134,203,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 09:03:00,10:48,,23:59,3.0564633999999997,101.5552072,OK,DL
135,204,PJA4,B,mbinmdsh,40706,D,DOM,N,2020-01-15 21:48:00,10:53,,23:59,3.0540707,101.55292759999999,OK,DL
136,205,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 09:04:00,11:02,,23:59,3.0497446,101.54642890000001,OK,DL
137,206,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 09:04:00,11:10,,23:59,3.0502032000000003,101.5478804,OK,DL
138,207,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 00:35:00,11:17,,23:59,3.0529061,101.5482425,OK,DL
139,208,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 09:04:00,11:18,,23:59,3.0529099,101.54820190000001,OK,DL
140,209,PJA4,B,mbinmdsh,40300,D,DOM,N,2020-01-15 21:48:00,11:23,,23:59,3.0546609,101.5469764,OK,DL
141,210,PJA4,B,mbinmdsh,40300,D,DOM,N,2020-01-15 21:46:00,11:26,,23:59,3.0581563999999997,101.54586579999999,OK,DL
142,211,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 09:04:00,11:37,,23:59,3.0597057999999997,101.5428634,OK,DL
143,212,PJA4,B,mbinmdsh,40300,D,DOM,N,2020-01-15 21:47:00,11:40,,23:59,3.0595107999999995,101.5463311,OK,DL
144,213,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 09:04:00,11:45,,23:59,3.0554869,101.5528858,OK,DL
145,214,PJA4,B,mbinmdsh,40300,D,DOM,N,2020-01-15 21:47:00,11:47,,23:59,3.0565729999999998,101.55520340000001,OK,DL
146,215,PJA4,B,mbinmdsh,40300,D,WPX,P,2020-01-16 04:20:00,11:50,,23:59,3.0575818999999997,101.5523018,OK,DL
147,216,PJA4,B,mbinmdsh,40000,D,WPX,P,2020-01-16 09:03:00,11:56,,23:59,3.0576042,101.55536579999999,OK,DL
148,217,PJA4,B,mbinmdsh,40000,D,WPX,P,2020-01-16 01:30:00,12:04,,23:59,3.0672501,101.56222700000001,OK,DL
149,218,PJA4,B,mbinmdsh,40150,D,WPX,P,2020-01-16 09:04:00,12:08,,23:59,3.0680789,101.5620202,OK,DL
150,219,PJA4,B,mbinmdsh,40000,D,DOX,D,2020-01-16 09:03:00,12:18,,23:59,3.0687632999999996,101.5702821,OK,DL
151,220,PJA4,B,mbinmdsh,40000,D,WPX,P,2020-01-16 09:04:00,12:24,,23:59,3.0692886,101.570709,OK,DL
152,221,PJA4,B,mbinmdsh,47500,D,DOX,D,2020-01-16 09:03:00,12:30,,23:59,3.0629781000000005,101.5681565,OK,DL
153,222,PJA4,B,mbinmdsh,40000,D,DOX,D,2020-01-16 09:03:00,12:32,,23:59,3.0626759999999997,101.56793420000001,OK,DL
154,223,PJA4,B,mbinmdsh,40000,D,DOM,N,2020-01-15 22:35:00,12:33,,23:59,3.0637742,101.56828780000001,OK,DL
155,224,PJA4,B,mbinmdsh,40000,D,WPX,P,2020-01-16 09:03:00,12:40,,23:59,3.0675855,101.5680292,OK,DL
156,225,PJA4,B,mbinmdsh,40150,D,WPX,P,2020-01-16 09:04:00,12:46,,23:59,3.0707642,101.5690736,OK,DL
157,226,PJA4,B,mbinmdsh,47500,D,DOX,D,2020-01-16 09:03:00,13:00,,23:59,3.0718692,101.57024100000001,OK,DL
158,227,PJA4,B,mbinmdsh,40000,D,DOX,D,2020-01-16 09:03:00,13:03,,23:59,3.0674241,101.5632545,OK,DL
160,229,PJA4,B,mbinmdsh,47610,D,WPX,P,2020-01-16 09:04:00,13:35,,23:59,3.0554930000000002,101.5628162,OK,DL
161,230,PJA4,B,mbinmdsh,47610,D,WPX,P,2020-01-16 09:04:00,13:38,,23:59,3.0577699000000003,101.5614319,OK,DL
162,231,PJA4,B,mbinmdsh,47610,D,DOX,D,2020-01-16 09:03:00,13:40,,23:59,3.0605217000000002,101.5630236,OK,DL
163,232,PJA4,B,mbinmdsh,47610,D,WPX,P,2020-01-16 09:04:00,13:43,,23:59,3.0594512000000003,101.5638102,OK,DL
164,233,PJA4,B,mbinmdsh,47610,D,WPX,P,2020-01-16 01:29:00,13:45,,23:59,3.0598505,101.5638386,OK,DL
165,234,PJA4,B,mbinmdsh,47500,D,DOX,D,2020-01-16 09:03:00,13:50,,23:59,3.066321,101.56238409999999,OK,DL
166,236,PJA4,B,mbinmdsh,40000,D,DOX,D,2020-01-16 09:03:00,14:28,,23:59,3.0453053,101.5482445,OK,DL
167,237,PJA4,B,mbinmdsh,40300,D,DOX,D,2020-01-16 09:03:00,14:31,,23:59,3.0451549,101.5463464,OK,DL
169,239,PJA4,B,mbinmdsh,40400,D,DOM,N,2020-01-15 22:35:00,14:46,,23:59,3.0411417999999997,101.54705799999999,OK,DL
170,240,PJA4,B,mbinmdsh,47500,D,WPX,P,2020-01-15 09:40:00,15:03,,23:59,3.0456406000000005,101.5519604,OK,DL
171,244,PJA4,B,mbinmdsh,40400,D,WPX,P,2020-01-16 09:03:00,15:18,,23:59,3.0437507999999998,101.55355440000001,OK,DL
172,245,PJA4,B,mbinmdsh,40400,D,DOX,D,2020-01-16 09:03:00,15:22,,23:59,3.0451416,101.55555009999999,OK,DL
173,246,PJA4,B,mbinmdsh,40300,D,DOM,N,2020-01-16 00:04:00,15:25,,23:59,3.0483898,101.5529705,OK,DL
174,247,PJA4,B,mbinmdsh,40300,D,DOX,D,2020-01-16 09:03:00,15:29,,23:59,3.0525694,101.55503490000001,OK,DL
175,249,PJA4,B,mbinmdsh,40000,D,DOM,N,2020-01-15 21:47:00,15:42,,23:59,3.0693002000000003,101.5555867,OK,DL
176,252,PJA4,B,mbinmdsh,47500,D,WPX,P,2020-01-15 05:25:00,16:03,,23:59,3.0706951,101.56038530000001,OK,DL
180,258,PJA4,B,mbinmdsh,40000,D,DOM,N,2020-01-15 22:25:00,16:34,,23:59,3.0665009999999997,101.5675998,OK,DL
181,261,PJA4,B,mbinmdsh,47500,D,DOM,N,2020-01-15 22:35:00,16:52,,23:59,3.0739918999999998,101.5673634,OK,DL
182,268,PJA4,B,mbinmdsh,40000,D,WPX,P,2020-01-15 08:51:00,17:48,,23:59,3.0685666,101.55261999999999,OK,DL
183,271,PJA5,B,mabdraza,40200,D,TDT,T,2020-01-16 09:03:00,10:47,,12:00,3.0720508,101.54853940000001,OK,DL
185,273,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 09:04:00,10:53,,23:59,3.0701563,101.5489792,OK,DL
186,274,PJA5,B,mabdraza,40700,D,DOX,D,2020-01-16 09:03:00,10:56,,23:59,3.0677529,101.5475725,OK,DL
187,275,PJA5,B,mabdraza,40000,D,DOX,D,2020-01-16 09:04:00,10:57,,23:59,3.0674061000000004,101.54778259999999,OK,DL
188,276,PJA5,B,mabdraza,40706,D,WPX,P,2020-01-16 04:20:00,11:04,,23:59,3.066763,101.54787809999999,OK,DL
189,277,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 09:04:00,11:12,,23:59,3.0660588,101.5428877,OK,DL
190,278,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-16 09:04:00,11:12,,23:59,3.0658347999999997,101.5435192,OK,DL
191,279,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 09:04:00,11:25,,23:59,3.0618865,101.5378642,OK,DL
192,280,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 06:03:00,11:30,,23:59,3.0616335,101.5352238,OK,DL
193,281,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 06:03:00,11:34,,23:59,3.0616279,101.5311494,OK,DL
194,282,PJA5,B,mabdraza,40200,D,DOM,N,2020-01-15 22:24:00,11:35,,23:59,3.061633,101.53115809999998,OK,DL
195,283,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-16 09:03:00,11:38,,23:59,3.0638906,101.5305374,OK,DL
196,284,PJA5,B,mabdraza,40700,D,DOX,D,2020-01-16 09:03:00,11:42,,23:59,3.0597677000000005,101.52381329999999,OK,DL
197,285,PJA5,B,mabdraza,40000,D,WPX,P,2020-01-16 01:44:00,11:49,,23:59,3.0597659999999998,101.5240132,OK,DL
198,286,PJA5,B,mabdraza,40700,D,WPX,P,2020-01-16 01:29:00,12:03,,23:59,3.0549804,101.5146771,OK,DL
199,287,PJA5,B,mabdraza,40700,D,DOM,N,2020-01-16 01:54:00,12:03,,23:59,3.0549804,101.5146771,OK,DL
200,291,PJA5,B,mabdraza,40200,D,DOM,N,2020-01-15 22:35:00,12:26,,23:59,3.0538478,101.5126639,OK,DL
201,292,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 01:25:00,12:26,,23:59,3.0538478,101.5126639,OK,DL
202,294,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 01:33:00,12:45,,23:59,3.0640146,101.5153123,OK,DL
203,295,PJA5,B,mabdraza,40200,D,DOM,N,2020-01-15 21:46:00,12:45,,23:59,3.0640146,101.5153123,OK,DL
204,296,PJA5,B,mabdraza,40000,D,DOX,D,2020-01-16 09:03:00,12:49,,23:59,3.0621292,101.51534090000001,OK,DL
205,297,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-15 21:36:00,12:51,,23:59,3.0630694,101.5188907,OK,DL
206,298,PJA5,B,mabdraza,40300,D,WPX,P,2020-01-16 09:03:00,13:01,,23:59,3.052705,101.5399652,OK,DL
207,299,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 01:29:00,13:13,,23:59,3.0584944,101.521792,OK,DL
208,300,PJA5,B,mabdraza,40000,D,DOM,N,2020-01-15 21:51:00,13:21,,23:59,3.0638041,101.5256478,OK,DL
209,304,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-16 09:03:00,13:53,,23:59,3.0648852000000004,101.5362369,OK,DL
210,305,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-16 09:03:00,13:57,,23:59,3.0659941,101.5385343,OK,DL
211,306,PJA5,B,mabdraza,40700,D,DOX,D,2020-01-16 09:03:00,14:51,,23:59,3.0660401000000004,101.54146159999999,OK,DL
212,308,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-16 09:04:00,15:14,,23:59,3.0634561000000002,101.5428345,OK,DL
213,309,PJA5,B,mabdraza,40200,D,DOX,D,2020-01-16 09:03:00,15:19,,23:59,3.0640412,101.54357809999999,OK,DL
214,310,PJA5,B,mabdraza,40200,D,DOM,N,2020-01-16 01:54:00,15:29,,23:59,3.0638389,101.5442103,OK,DL
215,311,PJA5,B,mabdraza,40200,D,WPX,P,2020-01-16 09:04:00,15:41,,23:59,3.0644307,101.5449556,OK,DL
